Name,Start Time,Start Direction,Start Alt,End Time,End Direction,End Alt
STARLINK-2098,01:13:07,NW,14°,01:17:50,SSE,46°
STARLINK-2046,01:14:23,NNW,13°,01:18:38,E,49°
STARLINK-3334,01:14:57,SW,13°,01:22:42,NE,10°
STARLINK-5380,01:15:21,NW,13°,01:19:56,E,51°
LANDSAT 5,01:15:23,NNE,16°,01:20:20,SSE,37°
STARLINK-3081,01:16:04,NNW,14°,01:21:19,S,36°
STARLINK-4103,01:16:16,SSW,12°,01:19:57,ESE,56°
STARLINK-4209,01:17:17,NW,12°,01:21:43,SE,59°
STARLINK-2445,01:17:23,SSW,13°,01:24:05,NE,18°
STARLINK-5417,01:18:33,NNW,11°,01:22:36,ENE,47°
STARLINK-4198,01:18:40,NW,12°,01:23:08,SE,60°
STARLINK-3697,01:18:42,NNW,11°,01:22:45,ENE,47°
STARLINK-2117,01:19:11,NW,18°,01:23:11,SSE,49°
STARLINK-4643,01:19:23,NW,18°,01:23:08,E,58°
STARLINK-2580,01:19:36,NNW,12°,01:23:55,E,60°
STARLINK-2479,01:21:16,SW,11°,01:28:03,NE,20°
STARLINK-4099,01:21:28,SSW,11°,01:25:17,SE,65°
STARLINK-2466,01:22:37,SW,11°,01:29:07,NE,23°
STARLINK-4201,01:23:25,NW,17°,01:27:03,SSE,67°
STARLINK-5106,01:24:21,NW,18°,01:27:59,ESE,68°
STARLINK-2099,01:24:45,NW,18°,01:28:30,S,50°
STARLINK-4189,01:24:49,NW,17°,01:28:25,SSE,68°
STARLINK-5415,01:24:50,NNW,18°,01:27:52,ENE,57°
STARLINK-1231,01:25:51,NNW,17°,01:29:15,E,73°
STARLINK-5385,01:27:33,NW,17°,01:31:08,ESE,76°
STARLINK-4100,01:27:37,SSW,16°,01:30:37,S,73°
STARLINK-3671,01:28:05,NNW,16°,01:31:11,NE,54°
STARLINK-5424,01:28:41,NW,15°,01:32:21,SSW,67°
STARLINK-3696,01:28:45,NNW,16°,01:31:53,NE,53°
STARLINK-2471,01:28:46,SW,15°,01:34:44,NNE,22°
SL-16 R/B,01:29:38,SSW,17°,01:36:49,NNW,10°
STARLINK-5445,01:29:54,NNW,14°,01:33:11,NE,66°
STARLINK-5382,01:30:38,NW,15°,01:34:19,SSE,83°
STARLINK-2543,01:30:59,NW,14°,01:34:35,SE,87°
STARLINK-5434,01:32:11,NW,14°,01:35:58,SSW,77°
STARLINK-4101,01:32:43,SW,13°,01:35:54,SW,69°
STARLINK-5436,01:34:59,NW,11°,01:38:31,N,71°
STARLINK-5388,01:36:06,NW,18°,01:39:06,SW,72°
CZ-2C R/B,08:34:52,NNE,18°,08:38:09,ENE,66°
ATLAS CENTAUR 2,08:41:25,NNW,33°,08:48:19,ENE,10°
HST,08:43:20,NNE,27°,08:46:31,ENE,10°
TITAN 4B R/B,08:45:07,ENE,46°,08:48:34,NE,10°
METEOR-M2 2,08:56:29,N,22°,08:59:55,WNW,60°
DELTA 2 R/B(1),08:59:48,SE,82°,09:04:27,E,10°
COSMOS 1953,09:00:12,N,13°,09:03:50,E,63°
SWIFT,09:02:25,E,61°,09:05:53,E,10°
CBERS 1,09:03:20,N,16°,09:07:59,WSW,60°
STARLINK-3369,09:04:57,E,73°,09:08:48,NE,10°
STARLINK-3344,09:06:18,ENE,78°,09:10:13,NE,10°
STARLINK-1134,09:07:04,N,69°,09:10:53,NNE,10°
STARLINK-1888,09:07:49,SE,64°,09:12:04,NE,10°
STARLINK-2237,09:09:48,SSE,60°,09:13:17,SE,10°
STARLINK-3375,09:10:16,N,86°,09:14:19,NE,10°
STARLINK-4014,09:10:32,NNW,28°,09:16:45,SE,10°
COSMOS 1943,09:11:34,WNW,38°,09:16:52,N,10°
STARLINK-2296,09:12:24,NW,65°,09:16:24,NNE,10°
STARLINK-1929,09:13:13,S,71°,09:17:41,NE,10°
COSMOS 2297,09:13:41,NNW,20°,09:23:21,SSE,10°
STARLINK-2252,09:15:08,S,63°,09:18:46,SSE,10°
STARLINK-3362,09:15:32,WNW,75°,09:19:47,NNE,10°
STARLINK-4017,09:15:51,NW,26°,09:22:15,SE,10°
STARLINK-4769,09:16:20,S,54°,09:21:01,NE,10°
STARLINK-2326,09:17:37,WNW,54°,09:21:48,NNE,10°
STARLINK-1849,09:18:31,SSW,68°,09:23:12,NE,10°
STARLINK-2151,09:20:27,SSW,60°,09:24:14,SSE,10°
STARLINK-3350,09:20:50,W,61°,09:25:16,NNE,10°
STARLINK-4028,09:21:10,NW,23°,09:27:44,SSE,10°
STARLINK-4750,09:21:38,SSW,53°,09:26:36,NE,10°
STARLINK-1140,09:22:55,WNW,46°,09:27:14,NNE,10°
STARLINK-1312,09:23:01,NW,11°,09:31:07,SE,10°
STARLINK-1899,09:23:48,SW,58°,09:28:42,NE,10°
STARLINK-2757,09:25:48,SW,53°,09:29:42,SSE,10°
STARLINK-3392,09:26:09,W,50°,09:30:45,NNE,10°
STARLINK-3774,09:26:30,NW,21°,09:33:12,SSE,10°
STARLINK-4773,09:26:57,SSW,49°,09:32:06,NE,10°
STARLINK-1283,09:28:29,NW,11°,09:36:37,SSE,10°
STARLINK-1861,09:29:08,WSW,49°,09:34:11,NNE,10°
STARLINK-1603,09:29:53,SSW,39°,09:35:28,NE,10°
ENVISAT,09:30:33,N,15°,09:37:03,SW,28°
STARLINK-2214,09:31:09,SW,45°,09:35:07,SSE,10°
STARLINK-3398,09:31:26,W,41°,09:36:11,NNE,10°
STARLINK-3934,09:31:51,NW,19°,09:38:40,SSE,10°
STARLINK-3247,09:31:53,NW,10°,09:40:02,SE,10°
STARLINK-4778,09:32:17,SW,44°,09:37:38,NE,10°
STARLINK-2366,09:32:59,SSE,56°,09:36:04,NE,10°
STARLINK-4074,09:33:12,NW,18°,09:40:04,SSE,10°
STARLINK-1307,09:33:52,NW,10°,09:42:07,SSE,10°
STARLINK-1893,09:34:29,WSW,41°,09:39:42,NNE,10°
STARLINK-2249,09:35:05,WSW,40°,09:39:11,SSE,10°
STARLINK-1545,09:35:11,SSW,35°,09:41:01,NE,10°
STARLINK-2145,09:36:27,WSW,39°,09:40:32,SSE,10°
STARLINK-3946,09:37:10,NW,16°,09:44:06,SSE,10°
STARLINK-4784,09:37:34,SW,37°,09:43:09,NNE,10°
DELTA 2 R/B(1),09:38:04,SSW,38°,09:40:55,SE,10°
STARLINK-3683,09:38:08,NW,15°,09:45:32,SSE,10°
STARLINK-3363,09:38:15,SSW,29°,09:44:23,NE,10°
STARLINK-1681,09:38:44,NW,15°,09:46:10,SSE,10°
STARLINK-3253,09:39:39,SSW,28°,09:45:50,NE,10°
STARLINK-1873,09:39:42,WSW,34°,09:45:06,NNE,10°
STARLINK-2680,09:40:05,NW,14°,09:47:35,SSE,10°
STARLINK-1606,09:40:32,SW,32°,09:46:35,NE,10°
STARLINK-2430,09:41:00,NW,12°,09:48:56,SE,10°
STARLINK-4025,09:42:29,WNW,14°,09:49:29,SSE,10°
STARLINK-4809,09:42:53,WSW,32°,09:48:33,NNE,10°
STARLINK-3250,09:43:29,NW,14°,09:51:03,SSE,10°
STARLINK-3356,09:43:34,SSW,26°,09:49:53,NE,10°
STARLINK-2438,09:44:31,NW,14°,09:51:57,SSE,10°
STARLINK-2455,09:45:03,NW,12°,09:53:03,SE,10°
FUSE 1,09:45:20,W,19°,09:54:42,ESE,10°
STARLINK-1297,09:45:26,NW,13°,09:53:00,SSE,10°
STARLINK-2563,09:45:49,SW,28°,09:52:02,NNE,10°
STARLINK-2442,09:46:26,NW,12°,09:54:28,SE,10°
STARLINK-1125,09:47:36,WSW,33°,09:52:11,NNE,10°
STARLINK-4767,09:48:09,WSW,27°,09:53:58,NNE,10°
STARLINK-3233,09:48:50,NW,13°,09:56:29,SSE,10°
STARLINK-3400,09:48:53,SW,24°,09:55:25,NE,10°
STARLINK-1034,09:49:21,NW,10°,09:56:12,SSE,10°
STARLINK-3229,09:50:14,NW,12°,09:57:54,SSE,10°
STARLINK-5203,09:50:19,SW,23°,09:56:52,NE,10°
STARLINK-1301,09:50:50,NW,11°,09:58:28,SSE,10°
STARLINK-1585,09:51:06,SW,24°,09:57:30,NNE,10°
STARLINK-1912,09:51:51,SSW,19°,09:58:53,NE,10°
STARLINK-2418,09:51:52,NW,11°,09:59:58,SSE,10°
CZ-4C R/B,09:52:23,WSW,22°,09:58:33,N,10°
CZ-2D R/B,09:52:24,N,13°,10:00:00,SSW,10°
STARLINK-4749,09:53:10,SSW,18°,10:00:01,NE,10°
STARLINK-4033,09:53:59,NW,10°,10:01:56,SSE,10°
STARLINK-3388,09:54:11,SW,21°,10:00:56,NNE,10°
SL-12 R/B(2),09:54:33,NNW,15°,10:04:54,S,10°
STARLINK-4737,09:54:50,SSW,16°,10:02:08,NE,10°
STARLINK-3936,09:55:11,NW,10°,10:03:24,SE,10°
JAISAT-1,09:55:29,N,10°,10:02:23,SSW,10°
ARIANE 40 R/B,09:55:41,NNE,14°,10:03:16,S,10°
STARLINK-5341,09:55:46,NNW,10°,10:01:40,SSE,10°
STARLINK-2459,09:55:51,NW,10°,10:04:03,SSE,10°
STARLINK-4018,09:56:18,NW,16°,10:03:22,SSE,10°
STARLINK-1598,09:56:28,WSW,21°,10:03:02,NNE,10°
STARLINK-1864,09:57:09,SW,18°,10:04:24,NE,10°
STARLINK-5172,09:57:21,SW,20°,10:04:13,NNE,10°
STARLINK-2699,09:58:00,NW,15°,10:05:26,SSE,10°
STARLINK-3393,09:59:29,SW,19°,10:06:24,NNE,10°
STARLINK-3248,10:00:05,NW,13°,10:07:22,SSE,10°
STARLINK-4776,10:00:09,SSW,14°,10:07:41,NE,10°
ARIANE 5 R/B,10:00:48,N,10°,10:10:23,SW,10°
STARLINK-4073,10:01:09,NW,13°,10:08:52,SSE,10°
STARLINK-1088,10:01:27,SSW,14°,10:08:53,NE,10°
STARLINK-1860,10:02:23,SW,16°,10:09:51,NE,10°
STARLINK-2458,10:03:11,NW,12°,10:10:52,SSE,10°
STARLINK-1728,10:04:12,NW,11°,10:12:20,SE,10°
STARLINK-3395,10:04:48,SW,16°,10:11:52,NNE,10°
STARLINK-4747,10:05:26,SW,13°,10:13:13,NE,10°
STARLINK-4076,10:06:12,NW,10°,10:14:19,SSE,10°
STARLINK-5332,10:06:41,NNW,10°,10:12:35,SSE,10°
DELTA 2 R/B(1),10:07:18,W,15°,10:13:44,ESE,10°
STARLINK-2700,10:07:47,NW,15°,10:14:55,SSE,10°
STARLINK-1862,10:07:48,SW,14°,10:15:25,NNE,10°
STARLINK-1089,10:08:25,SSW,10°,10:16:42,NE,10°
STARLINK-2443,10:08:58,NW,13°,10:16:18,SSE,10°
STARLINK-1732,10:09:57,NW,13°,10:17:49,SSE,10°
